fips,year,coalres,pyr,pcoalyr,state,msa,Pop,EarnPOW,Manufact,dSSI,pay
0,1968,,,,0,,,,,,
0,1969,,36.683334,21.058332,0,,201298,619377024,173790000,2627000,
0,1970,,38.825001,28.108334,0,,203798.7,657609024,175215008,2953000,
0,1971,,40.491665,34.033333,0,,206817.5,701147008,178672000,3172000,
0,1972,,41.816666,36.241665,0,,209274.91,773568000,196430000,3365000,
0,1973,,44.400002,40.791668,0,,211349.2,867907968,220363008,3449000,
0,1974,,49.308334,62.150002,0,,213333.59,939278976,239052000,5281000,
0,1975,,53.816666,72.150002,0,,215456.59,996872000,241140000,5913000,
0,1976,,56.908333,68.933334,0,,217553.91,1107816960,273296992,6137000,
0,1977,,60.608334,72.808334,0,,219760.91,1230336000,312147008,6305000,
0,1978,,65.23333,80.416664,0,,222098.2,1392776960,351684000,6557000,
0,1979,,72.574997,84.308334,0,,224564.09,1552616960,393710016,7081000,
0,1980,,82.408333,87.375,0,,227255,1681255936,418374016,7941000,
0,1981,,90.925003,92.974998,0,,229457.41,1839128960,452416992,8595000,
0,1982,,96.5,99.991669,0,,231668.7,1920632960,450865984,8979000,
0,1983,,99.599998,100.49167,0,,233806.2,2040158976,466380000,9403000,
0,1984,,103.88333,102.21667,0,,235846.59,2259504896,513232000,10379000,
0,1985,,107.56667,102.24167,0,,237949.91,2426032896,535656992,11059000,
0,1986,,109.60834,100.76667,0,,240162.2,2578525952,550497984,12087000,
0,1987,,113.625,97.099998,0,,242321,2768679936,569619968,12949000,
0,1988,,118.25833,95.383331,0,,244534.3,2983386880,610104000,13785000,
0,1989,,123.96667,95.525002,0,,246820.2,3171180032,636963008,14976000,
0,1990,,130.65833,97.508331,0,,249402.3,3364033024,651774976,16669000,
0,1991,,136.19167,97.216667,0,,252131.2,3472942080,661654976,18611000,
0,1992,,140.31667,95.025002,0,,255027.5,3705597952,692796032,22330000,
0,1993,,144.45833,96.099998,0,,257783,3866554880,709577984,24673000,
21000,1968,69843.008,34.783333,19.383333,1,,,,,,
21000,1969,69843.008,36.683334,21.058332,1,,3198,7535608,1873200,55891,3317000
21000,1970,69843.008,38.825001,28.108334,1,,3230.6001,8066822,2021372,58115,4038000
21000,1971,69843.008,40.491665,34.033333,1,,3298.3,8731622,2162148,60536,4776000
21000,1972,69843.008,41.816666,36.241665,1,,3336.1001,9719291,2473138,60432,6421000
21000,1973,69843.008,44.400002,40.791668,1,,3371.6001,10980274,2858505,67174,7176000
21000,1974,69843.008,49.308334,62.150002,1,,3417,12266090,3172470,113618,8804000
21000,1975,69843.008,53.816666,72.150002,1,,3468.8,12945946,3099673,123546,10584949
21000,1976,69843.008,56.908333,68.933334,1,,3530.3999,14673711,3625192,128391,12380552
21000,1977,69843.008,60.608334,72.808334,1,,3575,16750614,4196972,131085,14224521
21000,1978,69843.008,65.23333,80.416664,1,,3611.3999,18806740,4688309,135502,15705024
21000,1979,69843.008,72.574997,84.308334,1,,3643.7,20876496,5216794,147027,17878940
21000,1980,69843.008,82.408333,87.375,1,,3665,21915878,5358548,163186,21016000
21000,1981,69843.008,90.925003,92.974998,1,,3670.3,23782608,5766973,180716,
21000,1982,69843.008,96.5,99.991669,1,,3683.5,24441812,5577082,190497,24360000
21000,1983,69843.008,99.599998,100.49167,1,,3694.7,24501760,5826672,205083,24758000
21000,1984,69843.008,103.88333,102.21667,1,,3695.8,27486360,6468332,227720,25913000
21000,1985,69843.008,107.56667,102.24167,1,,3695.2,28458242,6612315,239725,27643000
21000,1986,69843.008,109.60834,100.76667,1,,3688.3,29456414,6727333,255422,28441000
21000,1987,69843.008,113.625,97.099998,1,,3683.8,31321306,7175143,270868,30837000
21000,1988,69843.008,118.25833,95.383331,1,,3680.5,33311222,7727336,289173,33106000
21000,1989,69843.008,123.96667,95.525002,1,,3677.3,35726348,8166278,314403,36062000
21000,1990,69843.008,130.65833,97.508331,1,,3692.5,38256484,8688009,349740,40352000
21000,1991,69843.008,136.19167,97.216667,1,,3715.3999,39938396,8759168,398345,44488000
21000,1992,69843.008,140.31667,95.025002,1,,3752.6001,43548840,9530906,496435,49716000
21000,1993,69843.008,144.45833,96.099998,1,,3794,45501116,9982171,559644,55589000
21001,1968,0,34.783333,19.383333,1,0,,,,,
21001,1969,0,36.683334,21.058332,1,0,13.2,18442,959,420,12000
21001,1970,0,38.825001,28.108334,1,0,13.1,19056,1045,437,15000
21001,1971,0,40.491665,34.033333,1,0,13.6,26392,1121,440,17000
21001,1972,0,41.816666,36.241665,1,0,14.3,27639,1561,426,21000
21001,1973,0,44.400002,40.791668,1,0,14.4,27006,1704,495,22000
21001,1974,0,49.308334,62.150002,1,0,14.6,28862,2330,954,29000
21001,1975,0,53.816666,72.150002,1,0,14.7,26479,3128,1043,37373
21001,1976,0,56.908333,68.933334,1,0,14.8,30214,3672,1073,48582
21001,1977,0,60.608334,72.808334,1,0,15.1,33824,3990,1126,55916
21001,1978,0,65.23333,80.416664,1,0,15,37800,4495,1195,63623
21001,1979,0,72.574997,84.308334,1,0,15.1,42281,6444,1331,72114
21001,1980,0,82.408333,87.375,1,0,15.3,43758,8286,1515,84000
21001,1981,0,90.925003,92.974998,1,0,15.5,48845,9272,1720,
21001,1982,0,96.5,99.991669,1,0,15.5,50480,8994,1800,88000
21001,1983,0,99.599998,100.49167,1,0,15.4,46725,9493,1910,91000
21001,1984,0,103.88333,102.21667,1,0,15.9,60490,12331,2193,101000
21001,1985,0,107.56667,102.24167,1,0,15.7,62248,15009,2311,106000
21001,1986,0,109.60834,100.76667,1,0,15.7,64011,16540,2637,57000
21001,1987,0,113.625,97.099998,1,0,15.4,66571,17160,2912,123000
21001,1988,0,118.25833,95.383331,1,0,15.4,70539,18210,3049,134000
21001,1989,0,123.96667,95.525002,1,0,15.4,76956,19641,3166,144000
21001,1990,0,130.65833,97.508331,1,0,15.4,84520,21141,3572,151000
21001,1991,0,136.19167,97.216667,1,0,15.5,93029,22508,3442,177000
21001,1992,0,140.31667,95.025002,1,0,15.7,102781,23438,4109,195000
21001,1993,0,144.45833,96.099998,1,0,15.8,107501,22855,4210,235000
21003,1968,0,34.783333,19.383333,1,0,,,,,
21003,1969,0,36.683334,21.058332,1,0,12.6,18238,3810,504,11000
21003,1970,0,38.825001,28.108334,1,0,12.6,20027,4252,524,15000
21003,1971,0,40.491665,34.033333,1,0,12.9,22684,4530,553,16000
21003,1972,0,41.816666,36.241665,1,0,13,25329,4965,569,21000
21003,1973,0,44.400002,40.791668,1,0,13.1,29675,6774,633,24000
21003,1974,0,49.308334,62.150002,1,0,13.5,28608,7340,843,30000
21003,1975,0,53.816666,72.150002,1,0,13.7,30131,8555,893,38015
21003,1976,0,56.908333,68.933334,1,0,13.6,36877,11642,906,46715
21003,1977,0,60.608334,72.808334,1,0,13.6,42997,14558,929,49981
21003,1978,0,65.23333,80.416664,1,0,13.7,50396,17336,965,53461
21003,1979,0,72.574997,84.308334,1,0,13.8,54155,18821,1051,67614
21003,1980,0,82.408333,87.375,1,0,14.1,54971,19904,1172,82000
21003,1981,0,90.925003,92.974998,1,0,14.2,62441,22190,1300,
21003,1982,0,96.5,99.991669,1,0,14.1,61078,19076,1364,100000
21003,1983,0,99.599998,100.49167,1,0,14.3,59653,21594,1427,103000
21003,1984,0,103.88333,102.21667,1,0,14.6,75103,26999,1625,107000
21003,1985,0,107.56667,102.24167,1,0,14.7,77242,29175,1645,114000
21003,1986,0,109.60834,100.76667,1,0,14.8,72101,25088,1681,139000
21003,1987,0,113.625,97.099998,1,0,14.9,77939,28137,1725,123000
21003,1988,0,118.25833,95.383331,1,0,14.6,79007,28110,1722,130000
21003,1989,0,123.96667,95.525002,1,0,14.6,85339,29031,1773,137000
21003,1990,0,130.65833,97.508331,1,0,14.7,86034,23039,1873,145000
21003,1991,0,136.19167,97.216667,1,0,14.7,92360,25502,2146,157000
21003,1992,0,140.31667,95.025002,1,0,14.9,104024,29984,2550,170000
21003,1993,0,144.45833,96.099998,1,0,15.1,118997,35479,2547,208000
21005,1968,0,34.783333,19.383333,1,0,,,,,
21005,1969,0,36.683334,21.058332,1,0,9.3000002,17839,4518,108,6000
21005,1970,0,38.825001,28.108334,1,0,9.5,18431,5710,112,8000
21005,1971,0,40.491665,34.033333,1,0,10,21432,7790,110,9000
21005,1972,0,41.816666,36.241665,1,0,10.2,24688,9695,110,13000
21005,1973,0,44.400002,40.791668,1,0,10.2,26955,10350,130,14000
21005,1974,0,49.308334,62.150002,1,0,10.5,29194,9954,295,17000
21005,1975,0,53.816666,72.150002,1,0,10.8,28067,9383,330,23542
21005,1976,0,56.908333,68.933334,1,0,11,31036,10681,350,26740
21005,1977,0,60.608334,72.808334,1,0,11.4,35589,12285,349,37233
21005,1978,0,65.23333,80.416664,1,0,11.6,38636,13304,351,37021
21005,1979,0,72.574997,84.308334,1,0,11.9,41374,15068,371,43713
21005,1980,0,82.408333,87.375,1,0,12.6,44718,16162,400,49000
21005,1981,0,90.925003,92.974998,1,0,12.9,49398,16661,433,
21005,1982,0,96.5,99.991669,1,0,12.9,54130,18608,469,56000
21005,1983,0,99.599998,100.49167,1,0,13,54689,19615,490,59000
21005,1984,0,103.88333,102.21667,1,0,13.3,61397,21409,508,65000
21005,1985,0,107.56667,102.24167,1,0,13.6,61368,21601,514,66000
21005,1986,0,109.60834,100.76667,1,0,13.8,63464,22940,539,57000
21005,1987,0,113.625,97.099998,1,0,14,67730,25273,531,73000
21005,1988,0,118.25833,95.383331,1,0,14.2,70641,28106,540,76000
21005,1989,0,123.96667,95.525002,1,0,14.4,76228,30204,578,85000
21005,1990,0,130.65833,97.508331,1,0,14.7,76731,29020,631,94000
21005,1991,0,136.19167,97.216667,1,0,15.1,80982,28591,710,109000
21005,1992,0,140.31667,95.025002,1,0,15.6,88461,31377,802,130000
21005,1993,0,144.45833,96.099998,1,0,16.200001,95538,34589,933,143000
21007,1968,0,34.783333,19.383333,1,0,,,,,
21007,1969,0,36.683334,21.058332,1,0,8.3000002,12984,1062,200,13000
21007,1970,0,38.825001,28.108334,1,0,8.3999996,18894,3718,208,16000
21007,1971,0,40.491665,34.033333,1,0,8.6999998,21436,6611,214,19000
21007,1972,0,41.816666,36.241665,1,0,8.6999998,20994,7277,195,26000
21007,1973,0,44.400002,40.791668,1,0,8.3999996,22840,7222,201,30000
21007,1974,0,49.308334,62.150002,1,0,8.3000002,25706,9954,393,38000
21007,1975,0,53.816666,72.150002,1,0,8.3000002,27532,10490,401,43595
21007,1976,0,56.908333,68.933334,1,0,8.5,29841,12055,397,46461
21007,1977,0,60.608334,72.808334,1,0,8.5,36508,14674,378,54359
21007,1978,0,65.23333,80.416664,1,0,8.6999998,42589,16386,362,58333
21007,1979,0,72.574997,84.308334,1,0,8.6999998,51160,19342,362,63788
21007,1980,0,82.408333,87.375,1,0,8.8000002,45553,21314,367,69000
21007,1981,0,90.925003,92.974998,1,0,8.6000004,53816,23140,366,
21007,1982,0,96.5,99.991669,1,0,8.5,53074,23698,378,74000
21007,1983,0,99.599998,100.49167,1,0,8.3999996,46144,24507,381,73000
21007,1984,0,103.88333,102.21667,1,0,8.3000002,64963,28093,411,69000
21007,1985,0,107.56667,102.24167,1,0,8.3000002,62252,30050,412,80000
21007,1986,0,109.60834,100.76667,1,0,8.1999998,65421,32679,429,92000
21007,1987,0,113.625,97.099998,1,0,8.1000004,63812,32836,445,91000
21007,1988,0,118.25833,95.383331,1,0,8,68562,32665,517,95000
21007,1989,0,123.96667,95.525002,1,0,7.9000001,82799,34568,498,94000
21007,1990,0,130.65833,97.508331,1,0,7.9000001,86823,37900,571,100000
21007,1991,0,136.19167,97.216667,1,0,7.9000001,82986,37691,615,79000
21007,1992,0,140.31667,95.025002,1,0,7.9000001,96616,41049,842,90000
21007,1993,0,144.45833,96.099998,1,0,8,96196,41989,686,120000
21009,1968,0,34.783333,19.383333,1,0,,,,,
21009,1969,0,36.683334,21.058332,1,0,28.6,59439,14331,581,23000
21009,1970,0,38.825001,28.108334,1,0,28.799999,63042,16795,605,32000
21009,1971,0,40.491665,34.033333,1,0,29.799999,69086,18119,648,36000
21009,1972,0,41.816666,36.241665,1,0,30.1,81847,22974,637,47000
21009,1973,0,44.400002,40.791668,1,0,30.799999,92940,30184,718,53000
21009,1974,0,49.308334,62.150002,1,0,31.299999,104054,36166,1346,66000
21009,1975,0,53.816666,72.150002,1,0,31.9,104372,34198,1504,79634
21009,1976,0,56.908333,68.933334,1,0,32.299999,124520,42000,1550,90048
21009,1977,0,60.608334,72.808334,1,0,33,138187,49361,1566,105571
21009,1978,0,65.23333,80.416664,1,0,33.299999,158039,57940,1603,114535
21009,1979,0,72.574997,84.308334,1,0,33.799999,175705,68854,1722,143542
21009,1980,0,82.408333,87.375,1,0,34,181187,68717,1891,180000
21009,1981,0,90.925003,92.974998,1,0,34,202140,76621,2077,
21009,1982,0,96.5,99.991669,1,0,34.400002,207376,75149,2185,210000
21009,1983,0,99.599998,100.49167,1,0,34.400002,210805,88656,2391,219000
21009,1984,0,103.88333,102.21667,1,0,34.400002,252182,99505,2637,223000
21009,1985,0,107.56667,102.24167,1,0,34,255434,96926,2843,237000
21009,1986,0,109.60834,100.76667,1,0,34.099998,266785,105121,3032,222000
21009,1987,0,113.625,97.099998,1,0,34,283334,106629,3045,257000
21009,1988,0,118.25833,95.383331,1,0,33.700001,298595,115959,3124,286000
21009,1989,0,123.96667,95.525002,1,0,33.799999,324974,122706,3438,323000
21009,1990,0,130.65833,97.508331,1,0,34.099998,345142,127702,3699,359000
21009,1991,0,136.19167,97.216667,1,0,34.299999,370214,126166,4172,407000
21009,1992,0,140.31667,95.025002,1,0,34.5,409169,146998,4834,460000
21009,1993,0,144.45833,96.099998,1,0,34.900002,436616,170156,5932,520000
21011,1968,0,34.783333,19.383333,1,0,,,,,
21011,1969,0,36.683334,21.058332,1,0,9.1999998,11962,52,311,7000
21011,1970,0,38.825001,28.108334,1,0,9.1999998,12212,50,323,9000
21011,1971,0,40.491665,34.033333,1,0,9.3999996,13103,,322,10000
21011,1972,0,41.816666,36.241665,1,0,9.5,15005,,306,14000
21011,1973,0,44.400002,40.791668,1,0,9.6000004,15865,50,334,14000
21011,1974,0,49.308334,62.150002,1,0,9.6000004,17960,103,563,16000
21011,1975,0,53.816666,72.150002,1,0,9.6999998,17172,,624,17932
21011,1976,0,56.908333,68.933334,1,0,9.6999998,17773,,656,19546
21011,1977,0,60.608334,72.808334,1,0,9.6999998,19981,,671,22434
21011,1978,0,65.23333,80.416664,1,0,9.8999996,20585,93,695,27924
21011,1979,0,72.574997,84.308334,1,0,10,21206,149,756,30041
21011,1980,0,82.408333,87.375,1,0,10.1,23552,166,840,39000
21011,1981,0,90.925003,92.974998,1,0,10,24413,184,934,
21011,1982,0,96.5,99.991669,1,0,10.1,26349,142,979,47000
21011,1983,0,99.599998,100.49167,1,0,10.2,18697,247,1063,47000
21011,1984,0,103.88333,102.21667,1,0,9.8999996,31493,747,1196,51000
21011,1985,0,107.56667,102.24167,1,0,9.8999996,29038,1483,1267,56000
21011,1986,0,109.60834,100.76667,1,0,9.8999996,27020,1751,1374,60000
21011,1987,0,113.625,97.099998,1,0,9.8000002,30115,2248,1430,66000
21011,1988,0,118.25833,95.383331,1,0,9.6999998,32347,2601,1600,73000
21011,1989,0,123.96667,95.525002,1,0,9.6999998,38372,3186,1691,83000
21011,1990,0,130.65833,97.508331,1,0,9.6999998,41751,2968,1847,92000
21011,1991,0,136.19167,97.216667,1,0,9.6999998,44747,2435,2188,104000
21011,1992,0,140.31667,95.025002,1,0,9.8999996,48747,5454,2692,135000
21011,1993,0,144.45833,96.099998,1,0,10,50692,7123,3137,156000
21013,1968,1885.6279,34.783333,19.383333,1,0,,,,,
21013,1969,1885.6279,36.683334,21.058332,1,0,31.5,47400,8081,1054,69000
21013,1970,1885.6279,38.825001,28.108334,1,0,31.200001,50773,8396,1096,79000
21013,1971,1885.6279,40.491665,34.033333,1,0,31.9,57054,9293,1049,93000
21013,1972,1885.6279,41.816666,36.241665,1,0,32.400002,59475,9778,989,120000
